Fecha;Valor;;;;
1983-01-01;180.1;;;;
1983-02-01;180.0;;;;
1983-03-01;183.3;;;;
1983-04-01;184.0;;;;
1983-05-01;186.9;;;;
1983-06-01;183.4;;;;
1983-07-01;183.5;;;;
1983-08-01;180.1;;;;
1983-09-01;178.8;;;;
1983-10-01;184.9;;;;
1983-11-01;189.7;;;;
1983-12-01;194.1;;;;
1984-01-01;189.7;;;;
1984-02-01;196.1;;;;
1984-03-01;193.6;;;;
1984-04-01;192.8;;;;
1984-05-01;194.6;;;;
1984-06-01;196.8;;;;
1984-07-01;193.8;;;;
1984-08-01;193.1;;;;
1984-09-01;192.7;;;;
1984-10-01;197.5;;;;
1984-11-01;203.6;;;;
1984-12-01;201.5;;;;
1985-01-01;205.0;;;;
1985-02-01;208.3;;;;
1985-03-01;208.5;;;;
1985-04-01;201.7;;;;
1985-05-01;203.5;;;;
1985-06-01;201.5;;;;
1985-07-01;205.0;;;;
1985-08-01;197.1;;;;
1985-09-01;206.9;;;;
1985-10-01;216.2;;;;
1985-11-01;219.5;;;;
1985-12-01;217.6;;;;
1986-01-01;219.2;;;;
1986-02-01;222.6;;;;
1986-03-01;222.4;;;;
1986-04-01;221.8;;;;
1986-05-01;223.7;;;;
1986-06-01;230.1;;;;
1986-07-01;219.4;;;;
1986-08-01;215.3;;;;
1986-09-01;214.2;;;;
1986-10-01;228.1;;;;
1986-11-01;235.3;;;;
1986-12-01;235.7;;;;
1987-01-01;232.9;;;;
1987-02-01;232.8;;;;
1987-03-01;233.2;;;;
1987-04-01;236.3;;;;
1987-05-01;235.4;;;;
1987-06-01;234.6;;;;
1987-07-01;227.9;;;;
1987-08-01;225.3;;;;
1987-09-01;227.0;;;;
1987-10-01;241.1;;;;
1987-11-01;241.8;;;;
1987-12-01;244.5;;;;
1988-01-01;244.6;;;;
1988-02-01;242.8;;;;
1988-03-01;244.2;;;;
1988-04-01;249.6;;;;
1988-05-01;246.7;;;;
1988-06-01;246.1;;;;
1988-07-01;246.7;;;;
1988-08-01;236.9;;;;
1988-09-01;235.2;;;;
1988-10-01;252.0;;;;
1988-11-01;253.8;;;;
1988-12-01;257.4;;;;
1989-01-01;252.8;;;;
1989-02-01;252.2;;;;
1989-03-01;250.6;;;;
1989-04-01;256.0;;;;
1989-05-01;259.2;;;;
1989-06-01;251.4;;;;
1989-07-01;255.0;;;;
1989-08-01;245.9;;;;
1989-09-01;249.9;;;;
1989-10-01;261.1;;;;
1989-11-01;270.7;;;;
1989-12-01;267.4;;;;
1990-01-01;255.4;;;;
1990-02-01;265.4;;;;
1990-03-01;267.7;;;;
1990-04-01;265.0;;;;
1990-05-01;268.3;;;;
1990-06-01;269.5;;;;
1990-07-01;263.8;;;;
1990-08-01;258.8;;;;
1990-09-01;266.9;;;;
1990-10-01;278.0;;;;
1990-11-01;288.2;;;;
1990-12-01;289.1;;;;
1991-01-01;284.6;;;;
1991-02-01;282.4;;;;
1991-03-01;287.1;;;;
1991-04-01;286.9;;;;
1991-05-01;289.8;;;;
1991-06-01;289.7;;;;
1991-07-01;287.7;;;;
1991-08-01;282.7;;;;
1991-09-01;282.4;;;;
1991-10-01;302.9;;;;
1991-11-01;305.3;;;;
1991-12-01;310.8;;;;
1992-01-01;314.0;;;;
1992-02-01;310.1;;;;
1992-03-01;299.9;;;;
1992-04-01;300.3;;;;
1992-05-01;308.6;;;;
1992-06-01;305.2;;;;
1992-07-01;300.4;;;;
1992-08-01;304.5;;;;
1992-09-01;295.4;;;;
1992-10-01;301.6;;;;
1992-11-01;298.5;;;;
1992-12-01;296.2;;;;
1993-01-01;297.7;;;;
1993-02-01;305.5;;;;
1993-03-01;310.1;;;;
1993-04-01;309.1;;;;
1993-05-01;302.4;;;;
1993-06-01;306.3;;;;
1993-07-01;298.5;;;;
1993-08-01;290.6;;;;
1993-09-01;297.6;;;;
1993-10-01;310.4;;;;
1993-11-01;318.3;;;;
1993-12-01;319.2;;;;
1994-01-01;318.0;;;;
1994-02-01;320.6;;;;
1994-03-01;327.0;;;;
1994-04-01;326.1;;;;
1994-05-01;325.6;;;;
1994-06-01;330.6;;;;
1994-07-01;316.3;;;;
1994-08-01;313.2;;;;
1994-09-01;322.1;;;;
1994-10-01;344.7;;;;
1994-11-01;346.8;;;;
1994-12-01;353.4;;;;
1995-01-01;352.4;;;;
1995-02-01;347.4;;;;
1995-03-01;329.5;;;;
1995-04-01;341.3;;;;
1995-05-01;342.9;;;;
1995-06-01;342.8;;;;
1995-07-01;342.3;;;;
1995-08-01;342.3;;;;
1995-09-01;348.5;;;;
1995-10-01;335.6;;;;
1995-11-01;377.1;;;;
1995-12-01;392.6;;;;
1996-01-01;375.8;;;;
1996-02-01;371.6;;;;
1996-03-01;380.1;;;;
1996-04-01;380.6;;;;
1996-05-01;386.2;;;;
1996-06-01;385.1;;;;
1996-07-01;380.4;;;;
1996-08-01;371.2;;;;
1996-09-01;386.3;;;;
1996-10-01;399.1;;;;
1996-11-01;408.9;;;;
1996-12-01;407.2;;;;
1997-01-01;399.9;;;;
1997-02-01;394.7;;;;
1997-03-01;401.1;;;;
1997-04-01;410.7;;;;
1997-05-01;413.6;;;;
1997-06-01;403.7;;;;
1997-07-01;400.1;;;;
1997-08-01;396.8;;;;
1997-09-01;408.4;;;;
1997-10-01;431.9;;;;
1997-11-01;431.6;;;;
1997-12-01;439.7;;;;
1998-01-01;440.7;;;;
1998-02-01;436.6;;;;
1998-03-01;440.0;;;;
1998-04-01;442.1;;;;
1998-05-01;443.7;;;;
1998-06-01;446.2;;;;
1998-07-01;437.1;;;;
1998-08-01;435.0;;;;
1998-09-01;436.9;;;;
1998-10-01;436.7;;;;
1998-11-01;437.6;;;;
1998-12-01;440.7;;;;
1999-01-01;426.6;;;;
1999-02-01;429.2;;;;
1999-03-01;427.2;;;;
1999-04-01;412.8;;;;
1999-05-01;422.3;;;;
1999-06-01;419.5;;;;
1999-07-01;415.7;;;;
1999-08-01;410.6;;;;
1999-09-01;424.9;;;;
1999-10-01;428.8;;;;
1999-11-01;439.6;;;;
1999-12-01;442.9;;;;
2000-01-01;423.8;;;;
2000-02-01;430.1;;;;
2000-03-01;433.4;;;;
2000-04-01;430.5;;;;
2000-05-01;430.5;;;;
2000-06-01;429.1;;;;
2000-07-01;434.9;;;;
2000-08-01;422.7;;;;
2000-09-01;431.6;;;;
2000-10-01;446.0;;;;
2000-11-01;447.9;;;;
2000-12-01;450.1;;;;
2001-01-01;444.6;;;;
2001-02-01;447.2;;;;
2001-03-01;451.4;;;;
2001-04-01;456.5;;;;
2001-05-01;451.4;;;;
2001-06-01;454.4;;;;
2001-07-01;450.2;;;;
2001-08-01;441.5;;;;
2001-09-01;460.7;;;;
2001-10-01;455.1;;;;
2001-11-01;456.2;;;;
2001-12-01;453.7;;;;
2002-01-01;468.5;;;;
2002-02-01;467.5;;;;
2002-03-01;465.2;;;;
2002-04-01;468.6;;;;
2002-05-01;472.6;;;;
2002-06-01;467.1;;;;
2002-07-01;465.0;;;;
2002-08-01;460.0;;;;
2002-09-01;475.4;;;;
2002-10-01;489.8;;;;
2002-11-01;492.4;;;;
2002-12-01;505.3;;;;
2003-01-01;484.3;;;;
2003-02-01;490.5;;;;
2003-03-01;486.1;;;;
2003-04-01;485.6;;;;
2003-05-01;482.9;;;;
2003-06-01;486.6;;;;
2003-07-01;473.9;;;;
2003-08-01;471.4;;;;
2003-09-01;486.2;;;;
2003-10-01;498.3;;;;
2003-11-01;506.0;;;;
2003-12-01;512.9;;;;
2004-01-01;503.8;;;;
2004-02-01;502.0;;;;
2004-03-01;510.6;;;;
2004-04-01;512.8;;;;
2004-05-01;509.9;;;;
2004-06-01;506.2;;;;
2004-07-01;500.7;;;;
2004-08-01;494.4;;;;
2004-09-01;515.1;;;;
2004-10-01;519.0;;;;
2004-11-01;529.7;;;;
2004-12-01;538.5;;;;
2005-01-01;528.3;;;;
2005-02-01;527.0;;;;
2005-03-01;527.3;;;;
2005-04-01;527.1;;;;
2005-05-01;533.1;;;;
2005-06-01;533.6;;;;
2005-07-01;518.8;;;;
2005-08-01;519.7;;;;
2005-09-01;537.6;;;;
2005-10-01;525.2;;;;
2005-11-01;538.7;;;;
2005-12-01;551.3;;;;
2006-01-01;529.4;;;;
2006-02-01;537.0;;;;
2006-03-01;539.1;;;;
2006-04-01;539.1;;;;
2006-05-01;547.8;;;;
2006-06-01;540.4;;;;
2006-07-01;532.6;;;;
2006-08-01;527.8;;;;
2006-09-01;546.2;;;;
2006-10-01;557.4;;;;
2006-11-01;554.2;;;;
2006-12-01;561.5;;;;
2007-01-01;559.0;;;;
2007-02-01;556.2;;;;
2007-03-01;549.4;;;;
2007-04-01;554.8;;;;
2007-05-01;558.2;;;;
2007-06-01;553.8;;;;
2007-07-01;548.7;;;;
2007-08-01;542.4;;;;
2007-09-01;566.8;;;;
2007-10-01;576.7;;;;
2007-11-01;580.3;;;;
2007-12-01;589.7;;;;
2008-01-01;570.8;;;;
2008-02-01;569.9;;;;
2008-03-01;570.8;;;;
2008-04-01;581.2;;;;
2008-05-01;580.2;;;;
2008-06-01;576.8;;;;
2008-07-01;564.3;;;;
2008-08-01;580.7;;;;
2008-09-01;594.1;;;;
2008-10-01;604.5;;;;
2008-11-01;615.3;;;;
2008-12-01;601.3;;;;
2009-01-01;606.2;;;;
2009-02-01;600.7;;;;
2009-03-01;608.1;;;;
2009-04-01;604.1;;;;
2009-05-01;612.4;;;;
2009-06-01;608.4;;;;
2009-07-01;594.1;;;;
2009-08-01;593.7;;;;
2009-09-01;622.3;;;;
2009-10-01;624.5;;;;
2009-11-01;625.1;;;;
2009-12-01;628.8;;;;
2010-01-01;591.6;;;;
2010-02-01;592.8;;;;
2010-03-01;614.6;;;;
2010-04-01;606.1;;;;
2010-05-01;612.9;;;;
2010-06-01;607.7;;;;
2010-07-01;595.1;;;;
2010-08-01;604.5;;;;
2010-09-01;621.7;;;;
2010-10-01;631.5;;;;
2010-11-01;634.9;;;;
2010-12-01;647.0;;;;
2011-01-01;634.2;;;;
2011-02-01;631.7;;;;
2011-03-01;634.4;;;;
2011-04-01;634.3;;;;
2011-05-01;630.8;;;;
2011-06-01;628.9;;;;
2011-07-01;616.8;;;;
2011-08-01;622.4;;;;
2011-09-01;638.4;;;;
2011-10-01;643.9;;;;
2011-11-01;656.6;;;;
2011-12-01;663.5;;;;
2012-01-01;646.3;;;;
2012-02-01;648.3;;;;
2012-03-01;657.1;;;;
2012-04-01;651.8;;;;
2012-05-01;657.4;;;;
2012-06-01;665.2;;;;
2012-07-01;643.5;;;;
2012-08-01;640.4;;;;
2012-09-01;654.8;;;;
2012-10-01;660.9;;;;
2012-11-01;662.3;;;;
2012-12-01;685.5;;;;
2013-01-01;685.1;;;;
2013-02-01;676.1;;;;
2013-03-01;687.1;;;;
2013-04-01;691.3;;;;
2013-05-01;690.4;;;;
2013-06-01;699.7;;;;
2013-07-01;681.3;;;;
2013-08-01;678.1;;;;
2013-09-01;682.4;;;;
2013-10-01;687.4;;;;
2013-11-01;707.8;;;;
2013-12-01;713.1;;;;
2014-01-01;697.0;;;;
2014-02-01;702.8;;;;
2014-03-01;701.6;;;;
2014-04-01;708.4;;;;
2014-05-01;710.8;;;;
2014-06-01;710.0;;;;
2014-07-01;693.1;;;;
2014-08-01;687.9;;;;
2014-09-01;705.4;;;;
2014-10-01;721.5;;;;
2014-11-01;721.1;;;;
2014-12-01;683.1;;;;
2015-01-01;735.3;;;;
2015-02-01;725.0;;;;
2015-03-01;719.0;;;;
2015-04-01;732.7;;;;
2015-05-01;730.1;;;;
2015-06-01;720.6;;;;
2015-07-01;722.1;;;;
2015-08-01;716.0;;;;
2015-09-01;734.8;;;;
2015-10-01;740.0;;;;
2015-11-01;740.0;;;;
2015-12-01;730.0;;;;
2016-01-01;694.7;;;;
2016-02-01;720.5;;;;
2016-03-01;702.7;;;;
2016-04-01;697.6;;;;
2016-05-01;722.6;;;;
2016-06-01;711.5;;;;
2016-07-01;693.8;;;;
2016-08-01;702.5;;;;
2016-09-01;707.0;;;;
2016-10-01;718.8;;;;
2016-11-01;725.1;;;;
2016-12-01;705.6;;;;
2017-01-01;726.0;;;;
2017-02-01;721.3;;;;
2017-03-01;734.7;;;;
2017-04-01;719.5;;;;
2017-05-01;729.3;;;;
2017-06-01;708.3;;;;
2017-07-01;725.8;;;;
2017-08-01;708.5;;;;
2017-09-01;709.6;;;;
2017-10-01;717.6;;;;
2017-11-01;714.9;;;;
2017-12-01;750.8;;;;
2018-01-01;750.9;;;;
2018-02-01;747.1;;;;
2018-03-01;754.9;;;;
2018-04-01;746.3;;;;
2018-05-01;741.3;;;;
2018-06-01;745.1;;;;
2018-07-01;728.1;;;;
2018-08-01;690.9;;;;
2018-09-01;749.1;;;;
2018-10-01;723.4;;;;
2018-11-01;716.9;;;;
2018-12-01;725.9;;;;
2019-01-01;712.4;;;;
2019-02-01;708.4;;;;
2019-03-01;706.1;;;;
2019-04-01;709.1;;;;
2019-05-01;707.2;;;;
2019-06-01;710.9;;;;
2019-07-01;692.4;;;;
2019-08-01;687.7;;;;
2019-09-01;710.0;;;;
2019-10-01;701.7;;;;
2019-11-01;715.4;;;;
2019-12-01;707.1;;;;
2020-01-01;702.9;;;;
2020-02-01;706.3;;;;
2020-03-01;702.9;;;;
2020-04-01;585.8;;;;
2020-05-01;616.2;;;;
2020-06-01;662.5;;;;
2020-07-01;659.9;;;;
2020-08-01;670.0;;;;
2020-09-01;682.7;;;;
2020-10-01;690.0;;;;
2020-11-01;676.2;;;;
2020-12-01;688.7;;;;
2021-01-01;678.5;;;;
2021-02-01;681.6;;;;
2021-03-01;689.4;;;;
2021-04-01;682.5;;;;
2021-05-01;672.8;;;;
2021-06-01;681.6;;;;
2021-07-01;672.9;;;;
2021-08-01;672.8;;;;
2021-09-01;689.3;;;;
2021-10-01;688.6;;;;
2021-11-01;699.1;;;;
2021-12-01;705.9;;;;
